check_id,avd_url,service,title,description,impact,remediation_cfn,remediation_tf,cfn_good_example,tf_good_example,links
AVD-AWS-0001,https://avd.aquasec.com/misconfig/aws/apigateway/aws-0001/,apigateway,,API Gateway stages should have access log settings block configured to track all access to a particular stage. This should be applied to both v1 and v2 gateway stages.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable logging for API Gateway stages'],['Enable logging for API Gateway stages'],"AWSTemplateFormatVersion: ""2010-09-09""

Description: Good Example of ApiGateway

Resources:
  GoodApi:
    Type: AWS::ApiGatewayV2::Api

  GoodApiStage:
    Type: AWS::ApiGatewayV2::Stage
    Properties:
      AccessLogSettings:
        DestinationArn: gateway-logging
        Format: json
      ApiId: !Ref GoodApi
      StageName: GoodApiStage","resource ""aws_apigatewayv2_stage"" ""good_example"" {
  api_id = aws_apigatewayv2_api.example.id
  name   = ""example-stage""

  access_log_settings {
    destination_arn = ""arn:aws:logs:region:0123456789:log-group:access_logging""
    format          = ""json""
  }
}",https://docs.aws.amazon.com/apigateway/latest/developerguide/set-up-logging.html
AVD-AWS-0002,https://avd.aquasec.com/misconfig/aws/apigateway/aws-0002/,apigateway,,Method cache encryption ensures that any sensitive data in the cache is not vulnerable to compromise in the event of interception,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",,['Enable cache encryption'],,"resource ""aws_api_gateway_rest_api"" ""example"" {}

resource ""aws_api_gateway_stage"" ""example"" {
  rest_api_id = aws_api_gateway_rest_api.example.id
}

resource ""aws_api_gateway_method_settings"" ""good_example"" {
  rest_api_id = aws_api_gateway_rest_api.example.id
  stage_name  = aws_api_gateway_stage.example.stage_name
  method_path = ""path1/GET""

  settings {
    caching_enabled      = true
    cache_data_encrypted = true
  }
}",
AVD-AWS-0003,https://avd.aquasec.com/misconfig/aws/apigateway/aws-0003/,apigateway,,X-Ray tracing enables end-to-end debugging and analysis of all API Gateway HTTP requests.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",,['Enable tracing'],,"resource ""aws_api_gateway_rest_api"" ""test"" {}

resource ""aws_api_gateway_stage"" ""good_example"" {
  stage_name           = ""prod""
  rest_api_id          = aws_api_gateway_rest_api.test.id
  deployment_id        = aws_api_gateway_deployment.test.id
  xray_tracing_enabled = true
}",
AVD-AWS-0004,https://avd.aquasec.com/misconfig/aws/apigateway/aws-0004/,apigateway,,API Gateway methods should generally be protected by authorization or api key. OPTION verb calls can be used without authorization,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",,['Use and authorization method or require API Key'],,"resource ""aws_api_gateway_rest_api"" ""example"" {}

resource ""aws_api_gateway_resource"" ""example"" {
  rest_api_id = aws_api_gateway_rest_api.MyDemoAPI.id
}

resource ""aws_api_gateway_method"" ""good_example"" {
  rest_api_id   = aws_api_gateway_rest_api.example.id
  resource_id   = aws_api_gateway_resource.example.id
  http_method   = ""GET""
  authorization = ""AWS_IAM""
}",
AVD-AWS-0005,https://avd.aquasec.com/misconfig/aws/apigateway/aws-0005/,apigateway,,You should not use outdated/insecure TLS versions for encryption. You should be using TLS v1.2+.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",,['Use the most modern TLS/SSL policies available'],,"resource ""aws_api_gateway_domain_name"" ""good_example"" {
  security_policy      = ""SecurityPolicy_TLS13_1_2_PFS_PQ_2025_09""
  endpoint_access_mode = ""STRICT""
  endpoint_configuration {
    types = [""REGIONAL""]
  }
}",https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-custom-domain-tls-version.html | https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-security-policies-list.html
AVD-AWS-0006,https://avd.aquasec.com/misconfig/aws/athena/aws-0006/,athena,,Data can be read if the Athena Database is compromised. Athena databases and workspace result sets should be encrypted at rests. These databases and query sets are generally derived from data in S3 buckets and should have the same level of at rest protection.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable encryption at rest for Athena databases and workgroup configurations'],['Enable encryption at rest for Athena databases and workgroup configurations'],"Resources:
  GoodExample:
    Type: AWS::Athena::WorkGroup
    Properties:
      Name: goodExample
      WorkGroupConfiguration:
        ResultConfiguration:
          EncryptionConfiguration:
            EncryptionOption: SSE_KMS","resource ""aws_athena_database"" ""good_example"" {
  name   = ""database_name""
  bucket = aws_s3_bucket.hoge.bucket

  encryption_configuration {
    encryption_option = ""SSE_KMS""
    kms_key_arn       = aws_kms_key.example.arn
  }
}",https://docs.aws.amazon.com/athena/latest/ug/encryption.html
AVD-AWS-0007,https://avd.aquasec.com/misconfig/aws/athena/aws-0007/,athena,,Clients can ignore encryption requirements without enforced configuration. Athena workgroup configuration should be enforced to prevent client side changes to disable encryption settings.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enforce the configuration to prevent client overrides'],['Enforce the configuration to prevent client overrides'],"Resources:
  GoodExample:
    Type: AWS::Athena::WorkGroup
    Properties:
      Name: goodExample
      WorkGroupConfiguration:
        EnforceWorkGroupConfiguration: true
        ResultConfiguration:
          EncryptionConfiguration:
            EncryptionOption: SSE_KMS","resource ""aws_athena_workgroup"" ""good_example"" {
  name = ""example""

  configuration {
    enforce_workgroup_configuration    = true
    publish_cloudwatch_metrics_enabled = true

    result_configuration {
      output_location = ""s3://${aws_s3_bucket.example.bucket}/output/""

      encryption_configuration {
        encryption_option = ""SSE_KMS""
        kms_key_arn       = aws_kms_key.example.arn
      }
    }
  }
}",https://docs.aws.amazon.com/athena/latest/ug/manage-queries-control-costs-with-workgroups.html
AVD-AWS-0008,https://avd.aquasec.com/misconfig/aws/ec2/aws-0008/,ec2,,Block devices should be encrypted to ensure sensitive data is held securely at rest.,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Turn on encryption for all block devices'],['Turn on encryption for all block devices'],"Resources:
  GoodExample:
    Type: AWS::AutoScaling::LaunchConfiguration
    Properties:
      BlockDeviceMappings:
        - DeviceName: root
          Ebs:
            Encrypted: true
      ImageId: ami-123456
      InstanceType: t2.small","resource ""aws_launch_configuration"" ""good_example"" {
  root_block_device {
    encrypted = true
  }
}",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/RootDeviceStorage.html
AVD-AWS-0009,https://avd.aquasec.com/misconfig/aws/ec2/aws-0009/,ec2,,"You should limit the provision of public IP addresses for resources. Resources should not be exposed on the public internet, but should have access limited to consumers required for the function of your application.","<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Set the instance to not be publicly accessible'],['Set the instance to not be publicly accessible'],"Resources:
  GoodExample:
    Type: AWS::AutoScaling::LaunchConfiguration
    Properties:
      ImageId: ami-123456
      InstanceType: t2.small","resource ""aws_launch_configuration"" ""good_example"" {
  associate_public_ip_address = false
}",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-instance-addressing.html
AVD-AWS-0010,https://avd.aquasec.com/misconfig/aws/cloudfront/aws-0010/,cloudfront,,You should configure CloudFront Access Logging to create log files that contain detailed information about every user request that CloudFront receives,"<!-- Add Impact here -->

<!-- DO NOT CHANGE -->",['Enable logging for CloudFront distributions'],['Enable logging for CloudFront distributions'],"Resources:
  GoodExample:
    Type: AWS::CloudFront::Distribution
    Properties:
      DistributionConfig:
        DefaultCacheBehavior:
          TargetOriginId: target
          ViewerProtocolPolicy: https-only
        Enabled: true
        Logging:
          Bucket: logging-bucket
        Origins:
          - DomainName: https://some.domain
            Id: somedomain1","resource ""aws_cloudfront_distribution"" ""good_example"" {
  // other config
  logging_config {
    include_cookies = false
    bucket          = ""mylogs.s3.amazonaws.com""
    prefix          = ""myprefix""
  }
}",https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/AccessLogs.html
